,Country or area,Population(1 July 2019)
36,Afghanistan,38041754
139,Albania,2880917
33,Algeria,43053054
209,American Samoa,55312
202,Andorra,77142
44,Angola,31825295
222,Anguilla,14869
200,Antigua and Barbuda,97118
30,Argentina,44780677
136,Armenia,2957731
197,Aruba,106314
54,Australia,25203198
96,Austria,8955102
89,Azerbaijan,10047718
177,Bahamas,389482
151,Bahrain,1641172
7,Bangladesh,163046161
181,Barbados,287025
94,Belarus,9452411
78,Belgium,11539328
176,Belize,390353
76,Benin,11801151
205,Bermuda,62506
164,Bhutan,763092
79,Bolivia,11513100
134,Bosnia and Herzegovina,3301000
144,Botswana,2303697
5,Brazil,211049527
218,British Virgin Islands,30030
175,Brunei,433285
106,Bulgaria,7000119
58,Burkina Faso,20321378
83,Burundi,10864245
69,Cambodia,16486542
53,Cameroon,25876380
38,Canada,37411047
171,Cape Verde,549935
219,Caribbean Netherlands,25979
204,Cayman Islands,64948
125,Central African Republic,4745185
71,Chad,15946876
62,Chile,18952038
0,China,1433783686
28,Colombia,50339443
162,Comoros,850886
117,Congo,5380508
221,Cook Islands,17548
119,Costa Rica,5047561
129,Croatia,4130304
80,Cuba,11333483
191,Curaçao,163424
157,Cyprus,1179551
85,Czech Republic,10689209
15,DR Congo,86790567
114,Denmark,5771876
159,Djibouti,973560
203,Dominica,71808
84,Dominican Republic,10738958
155,East Timor,1293119
66,Ecuador,17373662
13,Egypt,100388073
110,El Salvador,6453553
153,Equatorial Guinea,1355986
132,Eritrea,3497117
154,Estonia,1325648
158,Eswatini,1148130
11,Ethiopia,112078730
193,F.S. Micronesia,113815
229,Falkland Islands,3377
211,Faroe Islands,48678
160,Fiji,889953
115,Finland,5532156
21,France,65129728
183,French Guiana,282731
184,French Polynesia,279287
145,Gabon,2172579
143,Gambia,2347706
131,Georgia,3996765
16,Germany,83517045
47,Ghana,28833629
217,Gibraltar,33701
86,Greece,10473455
207,Greenland,56672
194,Grenada,112003
173,Guadeloupe,447905
190,Guam,167294
65,Guatemala,17581472
189,Guernsey and Jersey,172259
74,Guinea,12771246
149,Guinea-Bissau,1920922
163,Guyana,782766
81,Haiti,11263770
92,Honduras,9746117
103,Hong Kong,7436154
93,Hungary,9684679
179,Iceland,339031
1,India,1366417754
3,Indonesia,270625568
18,Iran,82913906
35,Iraq,39309783
123,Ireland,4882495
201,Isle of Man,84584
100,Israel,8519377
22,Italy,60550075
52,Ivory Coast,25716544
137,Jamaica,2948279
10,Japan,126860301
88,Jordan,10101694
63,Kazakhstan,18551427
26,Kenya,52573973
192,Kiribati,117606
128,Kuwait,4207083
111,Kyrgyzstan,6415850
104,Laos,7169455
150,Latvia,1906743
107,Lebanon,6855713
146,Lesotho,2125268
122,Liberia,4937374
108,Libya,6777452
215,Liechtenstein,38019
141,Lithuania,2759627
168,Luxembourg,615729
166,Macau,640445
50,Madagascar,26969307
61,Malawi,18628747
43,Malaysia,31949777
172,Maldives,530953
59,Mali,19658031
174,Malta,440372
206,Marshall Islands,58791
178,Martinique,375554
126,Mauritania,4525696
156,Mauritius,1198575
185,Mayotte,266150
9,Mexico,127575529
130,Moldova,4043263
213,Monaco,38964
135,Mongolia,3225167
167,Montenegro,627987
228,Montserrat,4989
39,Morocco,36471769
45,Mozambique,30366036
25,Myanmar,54045420
142,Namibia,2494530
225,Nauru,10756
48,Nepal,28608710
67,Netherlands,17097130
182,New Caledonia,282750
124,New Zealand,4783063
109,Nicaragua,6545502
56,Niger,23310715
6,Nigeria,200963599
230,Niue,1615
51,North Korea,25666161
147,North Macedonia,2083459
208,Northern Mariana Islands,56188
118,Norway,5378857
121,Oman,4974986
4,Pakistan,216565318
220,Palau,18008
120,Palestine,4981420
127,Panama,4246439
97,Papua New Guinea,8776109
105,Paraguay,7044636
42,Peru,32510453
12,Philippines,108116615
37,Poland,37887768
87,Portugal,10226187
138,Puerto Rico,2933408
140,Qatar,2832067
60,Romania,19364557
8,Russia,145872256
75,Rwanda,12626950
161,Réunion,888927
226,"Saint Helena, Ascension and Tristan da Cunha",6059
210,Saint Kitts and Nevis,52823
188,Saint Lucia,182790
227,Saint Pierre and Miquelon,5822
196,Saint Vincent and the Grenadines,110589
187,Samoa,197097
216,San Marino,33860
40,Saudi Arabia,34268528
70,Senegal,16296364
98,Serbia,8772235
199,Seychelles,97739
102,Sierra Leone,7813215
113,Singapore,5804337
212,Sint Maarten,42388
116,Slovakia,5457013
148,Slovenia,2078654
165,Solomon Islands,669823
72,Somalia,15442905
23,South Africa,58558270
27,South Korea,51225308
82,South Sudan,11062113
29,Spain,46736776
57,Sri Lanka,21323733
34,Sudan,42813238
170,Suriname,581372
90,Sweden,10036379
99,Switzerland,8591365
68,Syria,17070135
186,São Tomé and Príncipe,215056
55,Taiwan,23773876
95,Tajikistan,9321018
24,Tanzania,58005463
19,Thailand,69037513
101,Togo,8082366
231,Tokelau,1340
195,Tonga,110940
152,Trinidad and Tobago,1394973
77,Tunisia,11694719
17,Turkey,83429615
112,Turkmenistan,5942089
214,Turks and Caicos Islands,38191
223,Tuvalu,11646
198,U.S. Virgin Islands,104578
31,Uganda,44269594
32,Ukraine,43993638
91,United Arab Emirates,9770529
20,United Kingdom,67530172
2,United States,329064917
133,Uruguay,3461734
41,Uzbekistan,32981716
180,Vanuatu,299882
232,Vatican City,799
49,Venezuela,28515829
14,Vietnam,96462106
224,Wallis and Futuna,11432
169,Western Sahara,582463
233,World,7713468100
46,Yemen,29161922
64,Zambia,17861030
73,Zimbabwe,14645468
